Id,PM Interface Element ID,Total Effort (Hours),Rework Effort (Hours)
4437810,BM-00081137_009 | 11763856 | P702 Timeline PMINT | 1423340 | 2.1.9.1,0,0
4434857,BM-00047410_005 | 10087841 | Ford_V710_ESP_2023 | 1397187 | 2.1.9,0,0
4410487,BM-00047410_005 | 10087841 | Ford_V710_ESP_2023 | 1397187 | 2.1.9,0,0
4408730,BM-00080593_009 | 11280965 | Ford150_IPB2.0_Timeline_PMINT | 1373059 | 2.1.9.1,0,0
4408728,BM-00080593_009 | 11280964 | Ford150_IPB2.0_Timeline_PMINT | 1373059 | 2.1.9.1,0,0
4408726,BM-00080593_009 | 11280963 | Ford150_IPB2.0_Timeline_PMINT | 1373059 | 2.1.9.1,0,0
4408723,BM-00080593_009 | 11280962 | Ford150_IPB2.0_Timeline_PMINT | 1373059 | 2.1.9.1,0,0
4395774,BM-00047410_005 | 10087841 | Ford_V710_ESP_2023 | 1397187 | 2.1.9,0,0
4377599,BM-00061100_005 | 2 | V769_ESP_PMINT_Plan_1409330.mpp | {51d59cf1-4fa9-ea11-ae83-e4a471593ba6} | 2.1.9,0,0
4327318,BM-00061099_005 | 11204065 | B2e_MS_Project_Plan | 1368164 | 2.1.9.1,0,0
4316285,BM-00047410_005 | 10087841 | Ford_V710_ESP_2023 | 1397187 | 2.1.9,0,0
4315043, | 9 | Official_SW_Plan_Draft_1388451_Read.mpp | {51d59cf1-4fa9-ea11-ae83-e4a471593ba6} | 2.1.9,0,0
4291966,BM-00081137_009 | 11175736 | P702 Timeline PMINT | 1423340 | 2.1.9.1,0,0
4258468,BM-00081137_009 | 11149454 | P702 Timeline PMINT | 1423340 | 2.1.9.1,0,0
4258431,,0,0
4229014,BM-00047410_005 | 10087841 | Ford_V710_ESP_2023 | 1397187 | 2.1.9,0,0
4213950,BM-00086961_005 | 11108723 | V363_MY23_SW_Plan | 1448020 | 2.1.9.1,0,0
4213865,BM-00063068_005 | 11108611 | V363x_SW_Development_Plan | 1316645 | 2.1.9.1,0,0
4213863,BM-00063068_005 | 11108610 | V363x_SW_Development_Plan | 1316645 | 2.1.9.1,0,0
4213861,BM-00063068_005 | 11108609 | V363x_SW_Development_Plan | 1316645 | 2.1.9.1,0,0
4211075,BM-00081137_009 | 11104901 | P702 Timeline PMINT | 1423340 | 2.1.9.1,0,0
4189525,BM-00061099_005 | 11072704 | B2e_MS_Project_Plan | 1368164 | 2.1.9.1,0,0
4173545,BM-00047410_005 | 10087842 | Ford_V710_ESP_2023 | 1397187 | 2.1.9,0,0
4172986, | 9 | Official_SW_Plan_Draft_1388451_Read.mpp | {51d59cf1-4fa9-ea11-ae83-e4a471593ba6} | 2.1.9,0,0
4139148,BM-00081137_009 | 11036156 | P702 Timeline PMINT | 1423340 | 2.1.9.1,0,0
4134705,BM-00061100_005 | 2 | V769_ESP_PMINT_Plan_1409330.mpp | {51d59cf1-4fa9-ea11-ae83-e4a471593ba6} | 2.1.9,0,0
4130633,BM-00063068_005 | 11018545 | V363x_SW_Development_Plan | 1316645 | 2.1.9.1,0,0
4125771,BM-00047410_005 | 10087842 | Ford_V710_ESP_2023 | 1397187 | 2.1.9,0,0
4096913,BM-00061100_005 | 2 | V769_ESP_PMINT_Plan_1409330.mpp | {51d59cf1-4fa9-ea11-ae83-e4a471593ba6} | 2.1.9,0,0
4092649,BM-00047410_005 | 10087841 | Ford_V710_ESP_2023 | 1397187 | 2.1.9,0,0
4032863,BM-00081137_009 | 10873716 | P702 Timeline PMINT | 1423340 | 2.1.9.1,0,0
4032861,BM-00081137_009 | 10873707 | P702 Timeline PMINT | 1423340 | 2.1.9.1,0,0
4032859,BM-00081137_009 | 10873705 | P702 Timeline PMINT | 1423340 | 2.1.9.1,0,0
4032837,BM-00080593_009 | 10873694 | Ford150_IPB2.0_Timeline_PMINT | 1373059 | 2.1.9.1,0,0
4032835,BM-00080593_009 | 10873693 | Ford150_IPB2.0_Timeline_PMINT | 1373059 | 2.1.9.1,0,0
4032833,BM-00080593_009 | 10873692 | Ford150_IPB2.0_Timeline_PMINT | 1373059 | 2.1.9.1,0,0
4032831,BM-00080593_009 | 10873691 | Ford150_IPB2.0_Timeline_PMINT | 1373059 | 2.1.9.1,0,0
4032829,BM-00080593_009 | 10873690 | Ford150_IPB2.0_Timeline_PMINT | 1373059 | 2.1.9.1,0,0
4032675,BM-00061099_005 | 10873307 | B2e_MS_Project_Plan | 1368164 | 2.1.9.1,0,0
4032640,BM-00081137_009 | 10873717 | P702 Timeline PMINT | 1423340 | 2.1.9.1,0,0
4023936,BM-00081137_009 | 10873706 | P702 Timeline PMINT | 1423340 | 2.1.9.1,0,0
4001932,BM-00047410_005 | 10087841 | Ford_V710_ESP_2023 | 1397187 | 2.1.9,0,0
3996930,,0,0
3989749,BM-00061099_005 | 10784849 | B2e_MS_Project_Plan | 1368164 | 2.1.9.1,0,0
3979712,BM-00061100_005 | 2 | V769_ESP_PMINT_Plan_1409330.mpp | {51d59cf1-4fa9-ea11-ae83-e4a471593ba6} | 2.1.9,0,0
3963096,,0,0
3934793,BM-00061099_005 | 10670060 | B2e_MS_Project_Plan | 1368164 | 2.1.9.1,0,0
3931875,BM-00061099_005 | 10662087 | B2e_MS_Project_Plan | 1368164 | 2.1.9.1,0,0
3924478,BM-00063068_005 | 10641491 | V363x_SW_Development_Plan | 1316645 | 2.1.9.1,0,0
3922141,BM-00061099_005 | 10635984 | B2e_MS_Project_Plan | 1368164 | 2.1.9.1,0,0
3915448,BM-00081137_009 | 10873704 | P702 Timeline PMINT | 1423340 | 2.1.9.1,0,0
3912605,BM-00061100_005 | 2 | V769_ESP_PMINT_Plan_1409330.mpp | {51d59cf1-4fa9-ea11-ae83-e4a471593ba6} | 2.1.9,0,0
3891476,BM-00103425_021 | 13147155 | U725_MY25_5 | 1507223 | 2.1.9.1,0,0
3891474,BM-00080788_006 | 10519089 | U725_SW_Plan | 1425851 | 2.1.9.1,0,0
3891472,BM-00080788_006 | 10519077 | U725_SW_Plan | 1425851 | 2.1.9.1,0,0
3891470,BM-00080788_006 | 10519064 | U725_SW_Plan | 1425851 | 2.1.9.1,0,0
3891468,BM-00080788_006 | 10519052 | U725_SW_Plan | 1425851 | 2.1.9.1,0,0
3891466,BM-00080788_006 | 10519040 | U725_SW_Plan | 1425851 | 2.1.9.1,0,0
3891464,BM-00080788_006 | 10519028 | U725_SW_Plan | 1425851 | 2.1.9.1,0,0
3891462,BM-00080788_006 | 10519015 | U725_SW_Plan | 1425851 | 2.1.9.1,0,0
3878563,BM-00061100_005 | 2 | V769_ESP_PMINT_Plan_1409330.mpp | {51d59cf1-4fa9-ea11-ae83-e4a471593ba6} | 2.1.9,0,0
3878123,,0,0
3866064,BM-00081137_009 | 10496384 | P702 Timeline PMINT | 1423340 | 2.1.9,0,0
3866045,BM-00081137_009 | 10496387 | P702 Timeline PMINT | 1423340 | 2.1.9,0,0
3865998,BM-00081137_009 | 10496386 | P702 Timeline PMINT | 1423340 | 2.1.9,0,0
3865968,BM-00081137_009 | 10496383 | P702 Timeline PMINT | 1423340 | 2.1.9,0,0
