Id,PM Interface Element ID,Total Effort (Hours),Rework Effort (Hours)
6932046, | 11 | Official_SW_Plan_Draft_1388451_Read.mpp | {51d59cf1-4fa9-ea11-ae83-e4a471593ba6} | 2.1.9,85.32,0.0
6701983,| 11 | Official_SW_Plan_Draft_1388451_Read.mpp | {51d59cf1-4fa9-ea11-ae83-e4a471593ba6} | 2.1.9,71.6,4.0
